"","clust1","ind1","island1","clust2","ind2","island2","rel","assoc"
"1","1","1","Hawaii","1","1","Hawaii",0.61401500957306,0.755223912413736
"2","1","1","Hawaii","1","10","Hawaii",0.500817271812915,0.674608730807305
"3","1","1","Hawaii","1","11","Hawaii",0.742014743778112,0.935221746308286
"4","1","1","Hawaii","1","12","Hawaii",0.745475651834934,0.884681962550581
"5","1","1","Hawaii","1","13","Hawaii",0.726397353712064,1
"6","1","1","Hawaii","1","14","Hawaii",0.674490349653065,0.83623507912346
"7","1","1","Hawaii","1","15","Hawaii",0.637166724067855,0.654764146977512
"8","1","1","Hawaii","1","16","Hawaii",0.554838771327766,0.85058566482809
"9","1","1","Hawaii","1","17","Hawaii",0.575088728023237,0.523356594423895
"10","1","1","Hawaii","1","18","Hawaii",0.587125358192232,0.70068073065697
"11","1","1","Hawaii","1","19","Hawaii",0.677450063252451,0.935208476051216
"12","1","1","Hawaii","1","2","Hawaii",0.656101628167399,0.68400276678615
"13","1","1","Hawaii","1","20","Hawaii",0.560407962714119,0.704772402921962
"14","1","1","Hawaii","1","3","Hawaii",0.622914580254393,0.733445242061944
"15","1","1","Hawaii","1","4","Hawaii",0.518856570232045,0.658404799298039
"16","1","1","Hawaii","1","5","Hawaii",0.59514162422062,0.754050171591609
"17","1","1","Hawaii","1","6","Hawaii",0.622163154681736,0.864218328079716
"18","1","1","Hawaii","1","7","Hawaii",0.709054910887146,0.742256852123191
"19","1","1","Hawaii","1","8","Hawaii",0.678677971711486,0.89882836659355
"20","1","1","Hawaii","1","9","Hawaii",0.678576279174111,0.74569695776242
"21","1","10","Hawaii","1","1","Hawaii",0.432080647667237,0.552079299593923
"22","1","10","Hawaii","1","10","Hawaii",0.694778474296306,0.821463059350546
"23","1","10","Hawaii","1","11","Hawaii",0.637456492294061,0.843789943975388
"24","1","10","Hawaii","1","12","Hawaii",0.550296736305738,0.599206469028214
"25","1","10","Hawaii","1","13","Hawaii",0.450413631122475,0.561855348402576
"26","1","10","Hawaii","1","14","Hawaii",0.557100136744334,0.895279207573166
"27","1","10","Hawaii","1","15","Hawaii",0.54933065713243,0.657706622815514
"28","1","10","Hawaii","1","16","Hawaii",0.620767264180496,0.821218734181699
"29","1","10","Hawaii","1","17","Hawaii",0.493787742675039,0.627158828345052
"30","1","10","Hawaii","1","18","Hawaii",0.596844827936121,0.748331719229924
"31","1","10","Hawaii","1","19","Hawaii",0.409624646544174,0.541417618274896
"32","1","10","Hawaii","1","2","Hawaii",0.592657942471927,0.759240656670866
"33","1","10","Hawaii","1","20","Hawaii",0.491449488791548,0.604866705677461
"34","1","10","Hawaii","1","3","Hawaii",0.635905040279058,0.716204249858983
"35","1","10","Hawaii","1","4","Hawaii",0.648351844755946,0.756507695814843
"36","1","10","Hawaii","1","5","Hawaii",0.62092876395902,0.600218576528367
"37","1","10","Hawaii","1","6","Hawaii",0.685486233042417,0.792653881704658
"38","1","10","Hawaii","1","7","Hawaii",0.600178574025243,0.734423366484406
"39","1","10","Hawaii","1","8","Hawaii",0.490344596385171,0.556337842220173
"40","1","10","Hawaii","1","9","Hawaii",0.691133222635226,0.818834970985182
"41","1","11","Hawaii","1","1","Hawaii",0.447880282349958,0.505471249889889
"42","1","11","Hawaii","1","10","Hawaii",0.610396687178263,0.791927344652554
"43","1","11","Hawaii","1","11","Hawaii",0.753188850527997,0.936415984482981
"44","1","11","Hawaii","1","12","Hawaii",0.594415514627604,0.651787019185572
"45","1","11","Hawaii","1","13","Hawaii",0.648225114638053,0.650255089927282
"46","1","11","Hawaii","1","14","Hawaii",0.465039122828354,0.538838027932894
"47","1","11","Hawaii","1","15","Hawaii",0.392672350753715,0.18317972655917
"48","1","11","Hawaii","1","16","Hawaii",0.599241907292908,0.763493687083937
"49","1","11","Hawaii","1","17","Hawaii",0.472494301653743,0.526805811998232
"50","1","11","Hawaii","1","18","Hawaii",0.678990356636549,0.960569380945906
"51","1","11","Hawaii","1","19","Hawaii",0.656079855076733,0.872372428565884
"52","1","11","Hawaii","1","2","Hawaii",0.568466931537411,0.609407762058382
"53","1","11","Hawaii","1","20","Hawaii",0.666637562877365,0.711056496255094
"54","1","11","Hawaii","1","3","Hawaii",0.733840717052252,0.885655703909006
"55","1","11","Hawaii","1","4","Hawaii",0.668177472542988,0.793757124942283
"56","1","11","Hawaii","1","5","Hawaii",0.803821781296051,0.971201902627901
"57","1","11","Hawaii","1","6","Hawaii",0.453553075967695,0.603079548064619
"58","1","11","Hawaii","1","7","Hawaii",0.62909320707306,0.942272136990664
"59","1","11","Hawaii","1","8","Hawaii",0.722095823802283,0.835331541739303
"60","1","11","Hawaii","1","9","Hawaii",0.563446292461204,0.656358969611431
"61","1","12","Hawaii","1","1","Hawaii",0.710098593289953,0.930954588346476
"62","1","12","Hawaii","1","10","Hawaii",0.625111900961219,0.823084934914506
"63","1","12","Hawaii","1","11","Hawaii",0.659254335123254,0.698297306878928
"64","1","12","Hawaii","1","12","Hawaii",0.459811341946322,0.629926690000316
"65","1","12","Hawaii","1","13","Hawaii",0.686955478424202,0.826181745842484
"66","1","12","Hawaii","1","14","Hawaii",0.609953404552719,0.543170024567298
"67","1","12","Hawaii","1","15","Hawaii",0.627686037315839,0.920050929718213
"68","1","12","Hawaii","1","16","Hawaii",0.576877690888463,0.672241500264533
"69","1","12","Hawaii","1","17","Hawaii",0.616780607352052,0.618718841790143
"70","1","12","Hawaii","1","18","Hawaii",0.656050133538656,0.703452249971478
"71","1","12","Hawaii","1","19","Hawaii",0.666566750230635,0.708588929367739
"72","1","12","Hawaii","1","2","Hawaii",0.612478539500189,0.812888864267924
"73","1","12","Hawaii","1","20","Hawaii",0.57602263172978,0.717151626165882
"74","1","12","Hawaii","1","3","Hawaii",0.627343867110386,0.715674368632384
"75","1","12","Hawaii","1","4","Hawaii",0.747946084769459,0.951637847432824
"76","1","12","Hawaii","1","5","Hawaii",0.666303601807987,0.984942113112801
"77","1","12","Hawaii","1","6","Hawaii",0.606872380255253,0.69419004019916
"78","1","12","Hawaii","1","7","Hawaii",0.487732189656865,0.516141655409284
"79","1","12","Hawaii","1","8","Hawaii",0.53070570180293,0.551764893070119
"80","1","12","Hawaii","1","9","Hawaii",0.609270368606236,0.581604833345176
"81","1","13","Hawaii","1","1","Hawaii",0.574775416769453,0.566090930058599
"82","1","13","Hawaii","1","10","Hawaii",0.496159052332759,0.533426354739832
"83","1","13","Hawaii","1","11","Hawaii",0.551269654628538,0.812276049254246
"84","1","13","Hawaii","1","12","Hawaii",0.776752717243085,0.885213143140058
"85","1","13","Hawaii","1","13","Hawaii",0.494462801334858,0.533922685661254
"86","1","13","Hawaii","1","14","Hawaii",0.43490301620358,0.535211687756555
"87","1","13","Hawaii","1","15","Hawaii",0.713742384618585,0.888451098193885
"88","1","13","Hawaii","1","16","Hawaii",0.709535521980678,0.80790646707038
"89","1","13","Hawaii","1","17","Hawaii",0.763499312585543,0.87605205551997
"90","1","13","Hawaii","1","18","Hawaii",0.553817798062126,0.812577988875435
"91","1","13","Hawaii","1","19","Hawaii",0.538638558532239,0.762393302203712
"92","1","13","Hawaii","1","2","Hawaii",0.638984527039507,0.773223702988661
"93","1","13","Hawaii","1","20","Hawaii",0.632428853462205,0.757050238656288
"94","1","13","Hawaii","1","3","Hawaii",0.567852262806952,0.732345207863565
"95","1","13","Hawaii","1","4","Hawaii",0.417366043248649,0.527030136526166
"96","1","13","Hawaii","1","5","Hawaii",0.710779019766864,0.786150704757877
"97","1","13","Hawaii","1","6","Hawaii",0.666905595071932,0.730714145464854
"98","1","13","Hawaii","1","7","Hawaii",0.638922107383559,0.846554158390868
"99","1","13","Hawaii","1","8","Hawaii",0.679257657899163,0.924011493154224
"100","1","13","Hawaii","1","9","Hawaii",0.758601398475731,0.77328512586992
"101","1","14","Hawaii","1","1","Hawaii",0.530011153077017,0.572672639199467
"102","1","14","Hawaii","1","10","Hawaii",0.627109360668511,0.767276902874351
"103","1","14","Hawaii","1","11","Hawaii",0.538075565714282,0.636733192502801
"104","1","14","Hawaii","1","12","Hawaii",0.582977868781066,0.760235568289598
"105","1","14","Hawaii","1","13","Hawaii",0.704725453045915,0.882812686379548
"106","1","14","Hawaii","1","14","Hawaii",0.603076319342878,0.560959263376941
"107","1","14","Hawaii","1","15","Hawaii",0.697373433153993,0.806444120310669
"108","1","14","Hawaii","1","16","Hawaii",0.510628003224426,0.701688600898423
"109","1","14","Hawaii","1","17","Hawaii",0.589946682161828,0.811665809516754
"110","1","14","Hawaii","1","18","Hawaii",0.408444624728583,0.579784509316269
"111","1","14","Hawaii","1","19","Hawaii",0.555862774931003,0.84586765458879
"112","1","14","Hawaii","1","2","Hawaii",0.685927123808227,0.887251559807027
"113","1","14","Hawaii","1","20","Hawaii",0.627251482886483,0.622312985832027
"114","1","14","Hawaii","1","3","Hawaii",0.499164921192644,0.778036218153978
"115","1","14","Hawaii","1","4","Hawaii",0.634031652408677,0.640760352534144
"116","1","14","Hawaii","1","5","Hawaii",0.627187316897053,0.526271184723176
"117","1","14","Hawaii","1","6","Hawaii",0.709588004400486,0.908059145016851
"118","1","14","Hawaii","1","7","Hawaii",0.617414615000402,0.684942607799801
"119","1","14","Hawaii","1","8","Hawaii",0.575220484172444,0.684812627513877
"120","1","14","Hawaii","1","9","Hawaii",0.718052083908582,0.84780167868684
"121","1","15","Hawaii","1","1","Hawaii",0.786941696477341,1
"122","1","15","Hawaii","1","10","Hawaii",0.624661793368146,0.90907769682251
"123","1","15","Hawaii","1","11","Hawaii",0.478350773155949,0.504197986953151
"124","1","15","Hawaii","1","12","Hawaii",0.652676739830567,0.789018721250976
"125","1","15","Hawaii","1","13","Hawaii",0.664237717102945,0.856207073621359
"126","1","15","Hawaii","1","14","Hawaii",0.569096588643228,0.717792416732178
"127","1","15","Hawaii","1","15","Hawaii",0.559573440936915,0.59499539029416
"128","1","15","Hawaii","1","16","Hawaii",0.569347663736871,0.770142145194968
