encounter,minute,calf,behavior,timediff_transition,group_size,pulsed_call,whistle,combined_call
1,1,yes,feeding/social,-30,20,0,0,0
1,2,yes,feeding/social,-29,20,0,0,0
1,3,yes,feeding/social,-28,20,0,0,0
1,4,yes,feeding/social,-27,20,0,0,0
1,5,yes,feeding/social,-26,20,0,0,0
1,6,yes,feeding/social,-25,20,0,0,0
1,7,yes,feeding/social,-24,20,0,0,0
1,8,yes,feeding/social,-23,20,0,0,0
1,9,yes,feeding/social,-22,20,0,0,0
1,10,yes,feeding/social,-21,20,0,0,0
1,11,yes,feeding/social,-20,20,0,0,0
1,12,yes,feeding/social,-19,20,0,0,0
1,13,yes,feeding/social,-18,20,0,0,0
1,14,yes,feeding/social,-17,20,0,0,0
1,15,yes,feeding/social,-16,20,0,0,0
1,16,yes,feeding/social,-15,20,0,0,0
1,17,yes,feeding/social,-14,20,0,0,0
1,18,yes,feeding/social,-13,20,0,0,0
1,19,yes,feeding/social,-12,20,0,0,0
1,20,yes,feeding/social,-11,20,4,2,0
1,21,yes,feeding/social,-10,20,7,1,0
1,22,yes,feeding/social,-9,20,3,3,0
1,23,yes,feeding/social,-8,20,13,1,0
1,24,yes,feeding/social,-7,20,20,7,0
1,25,yes,feeding/social,-6,20,37,11,1
1,26,yes,feeding/social,-5,20,37,9,2
1,27,yes,feeding/social,-4,20,31,9,7
1,28,yes,feeding/social,-3,20,28,11,9
1,29,yes,feeding/social,-2,20,42,8,2
1,30,yes,feeding/social,-1,20,29,7,1
1,31,yes,travel,0,20,21,10,0
1,32,yes,travel,1,20,13,1,0
1,33,yes,travel,2,20,5,2,0
1,34,yes,travel,3,20,2,2,0
1,35,yes,travel,4,20,0,0,0
1,36,yes,travel,5,20,0,0,0
1,37,yes,travel,6,20,0,0,0
1,38,yes,travel,7,20,0,0,0
1,39,yes,travel,8,20,0,0,0
1,40,yes,travel,9,20,0,0,0
1,41,yes,travel,10,20,0,0,0
1,42,yes,travel,11,20,0,0,0
1,43,yes,travel,12,20,0,0,0
1,44,yes,travel,13,20,0,0,0
1,45,yes,travel,14,20,0,0,0
1,46,yes,travel,15,20,0,0,0
1,47,yes,travel,16,20,0,0,0
1,48,yes,travel,17,20,0,0,0
1,49,yes,travel,18,20,0,0,0
1,50,yes,travel,19,20,0,0,0
1,51,yes,travel,20,20,0,0,0
1,52,yes,travel,21,20,0,0,0
1,53,yes,travel,22,20,0,0,0
1,54,yes,travel,23,20,0,0,0
1,55,yes,travel,24,20,0,0,0
1,56,yes,travel,25,20,0,0,0
1,57,yes,travel,26,20,0,0,0
1,58,yes,travel,27,20,0,0,0
1,59,yes,travel,28,20,0,0,0
1,60,yes,travel,29,20,0,0,0
2,1,yes,feeding/social,-30,13,0,0,0
2,2,yes,feeding/social,-29,13,0,0,0
2,3,yes,feeding/social,-28,13,0,0,0
2,4,yes,feeding/social,-27,13,0,0,0
2,5,yes,feeding/social,-26,13,0,0,0
2,6,yes,feeding/social,-25,13,0,0,0
2,7,yes,feeding/social,-24,13,0,0,0
2,8,yes,feeding/social,-23,13,0,0,0
2,9,yes,feeding/social,-22,13,0,0,0
2,10,yes,feeding/social,-21,13,0,0,0
2,11,yes,feeding/social,-20,13,0,0,0
2,12,yes,feeding/social,-19,13,0,0,0
2,13,yes,feeding/social,-18,13,0,0,0
2,14,yes,feeding/social,-17,13,0,0,0
2,15,yes,feeding/social,-16,13,0,0,0
2,16,yes,feeding/social,-15,13,0,0,0
2,17,yes,feeding/social,-14,13,0,0,0
2,18,yes,feeding/social,-13,13,0,0,0
2,19,yes,feeding/social,-12,13,0,0,0
2,20,yes,feeding/social,-11,13,4,0,0
2,21,yes,feeding/social,-10,13,7,1,0
2,22,yes,feeding/social,-9,13,12,4,0
2,23,yes,feeding/social,-8,13,18,2,0
2,24,yes,feeding/social,-7,13,26,8,0
2,25,yes,feeding/social,-6,13,31,11,3
2,26,yes,feeding/social,-5,13,36,11,4
2,27,yes,feeding/social,-4,13,37,19,12
2,28,yes,feeding/social,-3,13,40,17,7
2,29,yes,feeding/social,-2,13,36,11,1
2,30,yes,feeding/social,-1,13,23,5,0
2,31,yes,travel,0,13,20,9,0
2,32,yes,travel,1,13,7,2,0
2,33,yes,travel,2,13,4,0,0
2,34,yes,travel,3,13,0,0,0
2,35,yes,travel,4,13,0,0,0
2,36,yes,travel,5,13,0,0,0
2,37,yes,travel,6,13,0,0,0
2,38,yes,travel,7,13,0,0,0
2,39,yes,travel,8,13,0,0,0
2,40,yes,travel,9,13,0,0,0
2,41,yes,travel,10,13,0,0,0
2,42,yes,travel,11,13,0,0,0
2,43,yes,travel,12,13,0,0,0
2,44,yes,travel,13,13,0,0,0
2,45,yes,travel,14,13,0,0,0
2,46,yes,travel,15,13,0,0,0
2,47,yes,travel,16,13,0,0,0
2,48,yes,travel,17,13,0,0,0
2,49,yes,travel,18,13,0,0,0
2,50,yes,travel,19,13,0,0,0
2,51,yes,travel,20,13,0,0,0
2,52,yes,travel,21,13,0,0,0
2,53,yes,travel,22,13,0,0,0
2,54,yes,travel,23,13,0,0,0
2,55,yes,travel,24,13,0,0,0
2,56,yes,travel,25,13,0,0,0
2,57,yes,travel,26,13,0,0,0
2,58,yes,travel,27,13,0,0,0
2,59,yes,travel,28,13,0,0,0
2,60,yes,travel,29,13,0,0,0
3,1,no,feeding/social,-30,48,0,0,0
3,2,no,feeding/social,-29,48,0,0,0
3,3,no,feeding/social,-28,48,0,0,0
3,4,no,feeding/social,-27,48,0,0,0
3,5,no,feeding/social,-26,48,0,0,0
3,6,no,feeding/social,-25,48,0,0,0
3,7,no,feeding/social,-24,48,0,0,0
3,8,no,feeding/social,-23,48,0,0,0
3,9,no,feeding/social,-22,48,0,0,0
3,10,no,feeding/social,-21,48,0,0,0
3,11,no,feeding/social,-20,48,0,0,0
3,12,no,feeding/social,-19,48,0,0,0
3,13,no,feeding/social,-18,48,0,0,0
3,14,no,feeding/social,-17,48,0,0,0
3,15,no,feeding/social,-16,48,0,0,0
3,16,no,feeding/social,-15,48,0,0,0
3,17,no,feeding/social,-14,48,0,0,0
3,18,no,feeding/social,-13,48,1,0,0
3,19,no,feeding/social,-12,48,6,1,0
3,20,no,feeding/social,-11,48,2,1,0
3,21,no,feeding/social,-10,48,4,1,0
3,22,no,feeding/social,-9,48,9,4,0
3,23,no,feeding/social,-8,48,25,5,0
3,24,no,feeding/social,-7,48,31,9,0
3,25,no,feeding/social,-6,48,37,10,0
3,26,no,feeding/social,-5,48,43,11,0
3,27,no,feeding/social,-4,48,38,13,0
3,28,no,feeding/social,-3,48,33,9,0
3,29,no,feeding/social,-2,48,23,10,0
3,30,no,feeding/social,-1,48,16,5,0
3,31,no,travel,0,48,15,6,0
3,32,no,travel,1,48,7,3,0
3,33,no,travel,2,48,3,1,0
3,34,no,travel,3,48,1,1,0
3,35,no,travel,4,48,0,0,0
3,36,no,travel,5,48,0,0,0
3,37,no,travel,6,48,0,0,0
3,38,no,travel,7,48,0,0,0
3,39,no,travel,8,48,0,0,0
3,40,no,travel,9,48,0,0,0
3,41,no,travel,10,48,0,0,0
3,42,no,travel,11,48,0,0,0
3,43,no,travel,12,48,0,0,0
3,44,no,travel,13,48,0,0,0
3,45,no,travel,14,48,0,0,0
3,46,no,travel,15,48,0,0,0
3,47,no,travel,16,48,0,0,0
3,48,no,travel,17,48,0,0,0
3,49,no,travel,18,48,0,0,0
3,50,no,travel,19,48,0,0,0
3,51,no,travel,20,48,0,0,0
3,52,no,travel,21,48,0,0,0
3,53,no,travel,22,48,0,0,0
3,54,no,travel,23,48,0,0,0
3,55,no,travel,24,48,0,0,0
3,56,no,travel,25,48,0,0,0
3,57,no,travel,26,48,0,0,0
3,58,no,travel,27,48,0,0,0
3,59,no,travel,28,48,0,0,0
3,60,no,travel,29,48,0,0,0
4,1,yes,feeding/social,-30,33,0,0,0
4,2,yes,feeding/social,-29,33,0,0,0
4,3,yes,feeding/social,-28,33,0,0,0
4,4,yes,feeding/social,-27,33,0,0,0
4,5,yes,feeding/social,-26,33,0,0,0
4,6,yes,feeding/social,-25,33,0,0,0
4,7,yes,feeding/social,-24,33,0,0,0
4,8,yes,feeding/social,-23,33,0,0,0
4,9,yes,feeding/social,-22,33,0,0,0
4,10,yes,feeding/social,-21,33,0,0,0
4,11,yes,feeding/social,-20,33,0,0,0
4,12,yes,feeding/social,-19,33,0,0,0
4,13,yes,feeding/social,-18,33,0,0,0
4,14,yes,feeding/social,-17,33,0,0,0
4,15,yes,feeding/social,-16,33,0,0,0
4,16,yes,feeding/social,-15,33,0,0,0
4,17,yes,feeding/social,-14,33,0,0,0
4,18,yes,feeding/social,-13,33,0,0,0
4,19,yes,feeding/social,-12,33,0,0,0
4,20,yes,feeding/social,-11,33,3,0,0
4,21,yes,feeding/social,-10,33,8,3,0
4,22,yes,feeding/social,-9,33,14,2,0
4,23,yes,feeding/social,-8,33,14,4,0
4,24,yes,feeding/social,-7,33,25,11,0
4,25,yes,feeding/social,-6,33,31,15,1
4,26,yes,feeding/social,-5,33,40,19,6
4,27,yes,feeding/social,-4,33,41,14,9
4,28,yes,feeding/social,-3,33,48,12,9
4,29,yes,feeding/social,-2,33,32,11,2
