Sample,Ind,Month,species,propDiet,season
Sample1,Ind17,5,Chinook salmon,0.9365202730591162,Spring
Sample1,Ind17,5,chum salmon,0,Spring
Sample1,Ind17,5,coho salmon,0.057282414635013004,Spring
Sample1,Ind17,5,steelhead salmon,0,Spring
Sample1,Ind17,5,pink salmon,0,Spring
Sample1,Ind17,5,sablefish,0,Spring
Sample1,Ind17,5,lingcod,0,Spring
Sample1,Ind17,5,arrowtooth flounder,0,Spring
Sample1,Ind17,5,Pacific halibut,0,Spring
Sample2,Ind5,2,Chinook salmon,0.5147399885812072,Winter
Sample2,Ind5,2,chum salmon,0.13613893190491416,Winter
Sample2,Ind5,2,coho salmon,0,Winter
Sample2,Ind5,2,steelhead salmon,0,Winter
Sample2,Ind5,2,pink salmon,0,Winter
Sample2,Ind5,2,sablefish,0,Winter
Sample2,Ind5,2,lingcod,0.3047308766303687,Winter
Sample2,Ind5,2,arrowtooth flounder,0,Winter
Sample2,Ind5,2,Pacific halibut,0.04429162479979475,Winter
Sample3,Ind1,9,Chinook salmon,0.5961410214573288,Summer
Sample3,Ind1,9,chum salmon,0.17922029993173053,Summer
Sample3,Ind1,9,coho salmon,0.17988047118352934,Summer
Sample3,Ind1,9,steelhead salmon,0.018553904019776392,Summer
Sample3,Ind1,9,pink salmon,0,Summer
Sample3,Ind1,9,sablefish,0.020581502308247866,Summer
Sample3,Ind1,9,lingcod,0,Summer
Sample3,Ind1,9,arrowtooth flounder,0,Summer
Sample3,Ind1,9,Pacific halibut,0,Summer
Sample4,Ind25,6,Chinook salmon,0.7856241653545234,Spring
Sample4,Ind25,6,chum salmon,0,Spring
Sample4,Ind25,6,coho salmon,0.15617732347059168,Spring
Sample4,Ind25,6,steelhead salmon,0.058198511174885,Spring
Sample4,Ind25,6,pink salmon,0,Spring
Sample4,Ind25,6,sablefish,0,Spring
Sample4,Ind25,6,lingcod,0,Spring
Sample4,Ind25,6,arrowtooth flounder,0,Spring
Sample4,Ind25,6,Pacific halibut,0,Spring
Sample5,Ind10,1,Chinook salmon,0.011946197788293766,Winter
Sample5,Ind10,1,chum salmon,0.9183152807230439,Winter
Sample5,Ind10,1,coho salmon,0,Winter
Sample5,Ind10,1,steelhead salmon,0,Winter
Sample5,Ind10,1,pink salmon,0,Winter
Sample5,Ind10,1,sablefish,0,Winter
Sample5,Ind10,1,lingcod,0.062106695362176695,Winter
Sample5,Ind10,1,arrowtooth flounder,0,Winter
Sample5,Ind10,1,Pacific halibut,0,Winter
Sample6,Ind4,1,Chinook salmon,0.025339132624047384,Winter
Sample6,Ind4,1,chum salmon,0.37968191523236555,Winter
Sample6,Ind4,1,coho salmon,0,Winter
Sample6,Ind4,1,steelhead salmon,0.3949523697487815,Winter
Sample6,Ind4,1,pink salmon,0,Winter
Sample6,Ind4,1,sablefish,0,Winter
Sample6,Ind4,1,lingcod,0.1981673640503025,Winter
Sample6,Ind4,1,arrowtooth flounder,0,Winter
Sample6,Ind4,1,Pacific halibut,0,Winter
Sample7,Ind18,11,Chinook salmon,0.04836772727148562,Autumn
Sample7,Ind18,11,chum salmon,0.2850870600309407,Autumn
Sample7,Ind18,11,coho salmon,0.1642246100615887,Autumn
Sample7,Ind18,11,steelhead salmon,0.03155422479927226,Autumn
Sample7,Ind18,11,pink salmon,0,Autumn
Sample7,Ind18,11,sablefish,0.24076539938636018,Autumn
Sample7,Ind18,11,lingcod,0,Autumn
Sample7,Ind18,11,arrowtooth flounder,0.18985970321556828,Autumn
Sample7,Ind18,11,Pacific halibut,0.04014127523478429,Autumn
Sample8,Ind26,12,Chinook salmon,0.025582100688013927,Autumn
Sample8,Ind26,12,chum salmon,0.40800831410202226,Autumn
Sample8,Ind26,12,coho salmon,0,Autumn
Sample8,Ind26,12,steelhead salmon,0,Autumn
Sample8,Ind26,12,pink salmon,0,Autumn
Sample8,Ind26,12,sablefish,0.03864632489279861,Autumn
Sample8,Ind26,12,lingcod,0.10592205088426705,Autumn
Sample8,Ind26,12,arrowtooth flounder,0.3616385824246671,Autumn
Sample8,Ind26,12,Pacific halibut,0.05947665937398123,Autumn
Sample9,Ind17,2,Chinook salmon,0.2962105356860975,Winter
Sample9,Ind17,2,chum salmon,0.27705313488501826,Winter
Sample9,Ind17,2,coho salmon,0,Winter
Sample9,Ind17,2,steelhead salmon,0.023185182942977785,Winter
Sample9,Ind17,2,pink salmon,0,Winter
Sample9,Ind17,2,sablefish,0,Winter
Sample9,Ind17,2,lingcod,0.321638400151602,Winter
Sample9,Ind17,2,arrowtooth flounder,0,Winter
Sample9,Ind17,2,Pacific halibut,0.07399296327939564,Winter
Sample10,Ind15,7,Chinook salmon,0.8477115762292343,Summer
Sample10,Ind15,7,chum salmon,0,Summer
Sample10,Ind15,7,coho salmon,0.14981176642299546,Summer
Sample10,Ind15,7,steelhead salmon,0,Summer
Sample10,Ind15,7,pink salmon,0,Summer
Sample10,Ind15,7,sablefish,0,Summer
Sample10,Ind15,7,lingcod,0,Summer
Sample10,Ind15,7,arrowtooth flounder,0,Summer
Sample10,Ind15,7,Pacific halibut,0,Summer
Sample11,Ind24,2,Chinook salmon,0.5491502542770481,Winter
Sample11,Ind24,2,chum salmon,0.11446946787714811,Winter
Sample11,Ind24,2,coho salmon,0,Winter
Sample11,Ind24,2,steelhead salmon,0.05606928091396798,Winter
Sample11,Ind24,2,pink salmon,0,Winter
Sample11,Ind24,2,sablefish,0,Winter
Sample11,Ind24,2,lingcod,0.12904339804532658,Winter
Sample11,Ind24,2,arrowtooth flounder,0,Winter
Sample11,Ind24,2,Pacific halibut,0.14876851026906246,Winter
Sample12,Ind7,10,Chinook salmon,0.21764785758336339,Autumn
Sample12,Ind7,10,chum salmon,0.13091868293944975,Autumn
Sample12,Ind7,10,coho salmon,0.12086113128488689,Autumn
Sample12,Ind7,10,steelhead salmon,0,Autumn
Sample12,Ind7,10,pink salmon,0,Autumn
Sample12,Ind7,10,sablefish,0.21831268495779835,Autumn
Sample12,Ind7,10,lingcod,0,Autumn
Sample12,Ind7,10,arrowtooth flounder,0.064892418156529,Autumn
Sample12,Ind7,10,Pacific halibut,0.24687077324210088,Autumn
Sample13,Ind4,10,Chinook salmon,0.4053077966227937,Autumn
Sample13,Ind4,10,chum salmon,0.06876706250593616,Autumn
Sample13,Ind4,10,coho salmon,0.15404582060404004,Autumn
Sample13,Ind4,10,steelhead salmon,0.016178059947975987,Autumn
Sample13,Ind4,10,pink salmon,0,Autumn
Sample13,Ind4,10,sablefish,0.2968408106255339,Autumn
Sample13,Ind4,10,lingcod,0,Autumn
Sample13,Ind4,10,arrowtooth flounder,0.02760217349168979,Autumn
Sample13,Ind4,10,Pacific halibut,0.03125827620203044,Autumn
Sample14,Ind25,4,Chinook salmon,0.22087482848937065,Spring
Sample14,Ind25,4,chum salmon,0.14320026410799924,Spring
Sample14,Ind25,4,coho salmon,0.5238238036143527,Spring
Sample14,Ind25,4,steelhead salmon,0.026312167754012558,Spring
Sample14,Ind25,4,pink salmon,0,Spring
Sample14,Ind25,4,sablefish,0,Spring
