V1,V2,V3
-127.4,48.4,-2625.93994140625
-127.383281733746,48.4,-2621
-127.366563467492,48.4,-2604.43994140625
-127.349845201238,48.4,-2584.93994140625
-127.333126934985,48.4,-2585.99853515625
-127.316408668731,48.4,-2591.30834960938
-127.299690402477,48.4,-2593.05834960938
-127.282972136223,48.4,-2592.12841796875
-127.266253869969,48.4,-2593.6884765625
-127.249535603715,48.4,-2601.99853515625
-127.232817337461,48.4,-2598.94848632812
-127.216099071207,48.4,-2596.9384765625
-127.199380804954,48.4,-2597.92504882812
-127.1826625387,48.4,-2598.18505859375
-127.165944272446,48.4,-2597.14501953125
-127.149226006192,48.4,-2595.11499023438
-127.132507739938,48.4,-2594.17504882812
-127.115789473684,48.4,-2596.044921875
-127.09907120743,48.4,-2594.955078125
-127.082352941176,48.4,-2593.23510742188
-127.065634674923,48.4,-2591.2353515625
-127.048916408669,48.4,-2589.8251953125
-127.032198142415,48.4,-2588.6953125
-127.015479876161,48.4,-2586.10522460938
-126.998761609907,48.4,-2583.12524414062
-126.982043343653,48.4,-2582.34521484375
-126.965325077399,48.4,-2581.4453125
-126.948606811146,48.4,-2577.56518554688
-126.931888544892,48.4,-2572.5234375
-126.915170278638,48.4,-2569.0634765625
-126.898452012384,48.4,-2564.43359375
-126.88173374613,48.4,-2557.6435546875
-126.865015479876,48.4,-2552.03344726562
-126.848297213622,48.4,-2543.49340820312
-126.831578947368,48.4,-2521.19360351562
-126.814860681115,48.4,-2502.87353515625
-126.798142414861,48.4,-2498.01416015625
-126.781424148607,48.4,-2499.00415039062
-126.764705882353,48.4,-2495.55419921875
-126.747987616099,48.4,-2487.6640625
-126.731269349845,48.4,-2479.01416015625
-126.714551083591,48.4,-2401.63427734375
-126.697832817337,48.4,-2245.82421875
-126.681114551084,48.4,-2078.19409179688
-126.66439628483,48.4,-1924.93383789062
-126.647678018576,48.4,-1934.03381347656
-126.630959752322,48.4,-2020.19384765625
-126.614241486068,48.4,-1849.98388671875
-126.597523219814,48.4,-1604.73388671875
-126.58080495356,48.4,-1519.27380371094
-126.564086687306,48.4,-1495.37390136719
-126.547368421053,48.4,-1498.20385742188
-126.530650154799,48.4,-1462.31201171875
-126.513931888545,48.4,-1411.64208984375
-126.497213622291,48.4,-1420.14208984375
-126.480495356037,48.4,-1399.01208496094
-126.463777089783,48.4,-1359.46203613281
-126.447058823529,48.4,-1302.01208496094
-126.430340557276,48.4,-1269.90209960938
-126.413622291022,48.4,-1257.68212890625
-126.396904024768,48.4,-1215.95922851562
-126.380185758514,48.4,-1163.52917480469
-126.36346749226,48.4,-1170.37915039062
-126.346749226006,48.4,-1204.50915527344
-126.330030959752,48.4,-1199.48913574219
-126.313312693498,48.4,-1178.56921386719
-126.296594427245,48.4,-1069.10913085938
-126.279876160991,48.4,-979.559204101562
-126.263157894737,48.4,-961.096740722656
-126.246439628483,48.4,-946.366760253906
