NWFSCsampleID,Species,common_name,Class,Family,Prey,Detected,station,depth,bathy.bottom.depth,lat,lon,year,month,day
52193-1000,Balaena mysticetus,bowhead whale,Mammalia,Balaenidae,invert,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Balaenoptera acutorostrata,minke whale,Mammalia,Balaenopteridae,invert,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Balaenoptera musculus,blue whale,Mammalia,Balaenopteridae,invert,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Balaenoptera physalus,fin whale,Mammalia,Balaenopteridae,invert,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Berardius bairdii,northern giant bottlenose whale,Mammalia,Ziphiidae,squid,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Callorhinus ursinus,northern fur seal,Mammalia,Otariidae,generalist,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Eschrichtius robustus,gray whale,Mammalia,Eschrichtiidae,invert,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Eumetopias jubatus,Steller sea lion,Mammalia,Otariidae,fish,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Grampus griseus,Risso's dolphin,Mammalia,Delphinidae,fish,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Lagenorhynchus obliquidens,Pacific white-sided dolphin,Mammalia,Delphinidae,fish,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Lissodelphis borealis,northern right whale dolphin,Mammalia,Delphinidae,fish,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Megaptera novaeangliae,humpback whale,Mammalia,Balaenopteridae,invert,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Mesoplodon stejnegeri,saber-toothed whale,Mammalia,Ziphiidae,squid,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Mirounga angustirostris,elephant seal,Mammalia,Phocidae,squid,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Orcinus orca,killer whale,Mammalia,Delphinidae,fish,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Phoca vitulina,harbor seal,Mammalia,Phocidae,fish,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Phocoena phocoena,harbor porpoise,Mammalia,Phocoenidae,fish,1,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Phocoenoides dalli,Dall's porpoise,Mammalia,Phocoenidae,fish,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Stenella coeruleoalba,striped dolphin,Mammalia,Delphinidae,fish,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Zalophus californianus,California sea lion,Mammalia,Otariidae,generalist,1,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1000,Ziphius cavirostris,goose-beaked whale,Mammalia,Ziphiidae,squid,0,60-2,0,103,44.23054833,-124.5392983,2019,7,27
52193-1007,Balaena mysticetus,bowhead whale,Mammalia,Balaenidae,invert,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Balaenoptera acutorostrata,minke whale,Mammalia,Balaenopteridae,invert,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Balaenoptera musculus,blue whale,Mammalia,Balaenopteridae,invert,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Balaenoptera physalus,fin whale,Mammalia,Balaenopteridae,invert,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Berardius bairdii,northern giant bottlenose whale,Mammalia,Ziphiidae,squid,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Callorhinus ursinus,northern fur seal,Mammalia,Otariidae,generalist,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Eschrichtius robustus,gray whale,Mammalia,Eschrichtiidae,invert,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Eumetopias jubatus,Steller sea lion,Mammalia,Otariidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Grampus griseus,Risso's dolphin,Mammalia,Delphinidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Lagenorhynchus obliquidens,Pacific white-sided dolphin,Mammalia,Delphinidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Lissodelphis borealis,northern right whale dolphin,Mammalia,Delphinidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Megaptera novaeangliae,humpback whale,Mammalia,Balaenopteridae,invert,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Mesoplodon stejnegeri,saber-toothed whale,Mammalia,Ziphiidae,squid,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Mirounga angustirostris,elephant seal,Mammalia,Phocidae,squid,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Orcinus orca,killer whale,Mammalia,Delphinidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Phoca vitulina,harbor seal,Mammalia,Phocidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Phocoena phocoena,harbor porpoise,Mammalia,Phocoenidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Phocoenoides dalli,Dall's porpoise,Mammalia,Phocoenidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Stenella coeruleoalba,striped dolphin,Mammalia,Delphinidae,fish,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Zalophus californianus,California sea lion,Mammalia,Otariidae,generalist,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1007,Ziphius cavirostris,goose-beaked whale,Mammalia,Ziphiidae,squid,0,60-1,0,69,44.23212833,-124.247595,2019,7,27
52193-1014,Balaena mysticetus,bowhead whale,Mammalia,Balaenidae,invert,0,61-2,50,149,44.39556,-124.7442183,2019,7,28
52193-1014,Balaenoptera acutorostrata,minke whale,Mammalia,Balaenopteridae,invert,0,61-2,50,149,44.39556,-124.7442183,2019,7,28
52193-1014,Balaenoptera musculus,blue whale,Mammalia,Balaenopteridae,invert,0,61-2,50,149,44.39556,-124.7442183,2019,7,28
52193-1014,Balaenoptera physalus,fin whale,Mammalia,Balaenopteridae,invert,0,61-2,50,149,44.39556,-124.7442183,2019,7,28
52193-1014,Berardius bairdii,northern giant bottlenose whale,Mammalia,Ziphiidae,squid,0,61-2,50,149,44.39556,-124.7442183,2019,7,28
52193-1014,Callorhinus ursinus,northern fur seal,Mammalia,Otariidae,generalist,0,61-2,50,149,44.39556,-124.7442183,2019,7,28
52193-1014,Eschrichtius robustus,gray whale,Mammalia,Eschrichtiidae,invert,0,61-2,50,149,44.39556,-124.7442183,2019,7,28
