Month,gardens: (United States),ice skating: (United States)
2004-01,60,21
2004-02,58,13
2004-03,78,8
2004-04,85,5
2004-05,84,4
2004-06,83,4
2004-07,90,4
2004-08,70,5
2004-09,63,5
2004-10,59,7
2004-11,55,13
2004-12,61,24
2005-01,57,18
2005-02,63,12
2005-03,73,9
2005-04,88,6
2005-05,92,4
2005-06,88,5
2005-07,85,7
2005-08,77,6
2005-09,64,6
2005-10,62,8
2005-11,53,14
2005-12,60,30
2006-01,58,27
2006-02,62,30
2006-03,75,12
2006-04,88,7
2006-05,87,5
2006-06,88,5
2006-07,90,6
2006-08,75,6
2006-09,66,6
2006-10,66,8
2006-11,58,16
2006-12,64,31
2007-01,57,22
2007-02,59,16
2007-03,77,8
2007-04,87,6
2007-05,97,4
2007-06,98,5
2007-07,90,5
2007-08,77,5
2007-09,66,6
2007-10,63,7
2007-11,56,16
2007-12,61,33
2008-01,58,21
2008-02,60,13
2008-03,78,9
2008-04,82,5
2008-05,90,4
2008-06,87,4
2008-07,81,5
2008-08,73,5
2008-09,57,5
2008-10,60,6
2008-11,54,15
2008-12,58,33
2009-01,55,22
2009-02,60,13
2009-03,73,7
2009-04,100,4
2009-05,89,4
2009-06,82,4
2009-07,82,4
2009-08,71,5
2009-09,62,4
2009-10,60,6
2009-11,54,14
2009-12,58,31
2010-01,53,25
2010-02,54,27
2010-03,70,10
2010-04,79,4
2010-05,81,4
2010-06,80,4
2010-07,77,4
2010-08,65,4
2010-09,57,4
2010-10,57,5
2010-11,51,14
2010-12,58,32
2011-01,55,25
2011-02,63,15
2011-03,72,7
2011-04,83,5
2011-05,88,3
2011-06,92,4
2011-07,85,5
2011-08,75,4
2011-09,68,5
2011-10,66,6
2011-11,61,15
2011-12,69,38
2012-01,60,23
2012-02,64,13
2012-03,77,7
2012-04,84,5
2012-05,86,4
2012-06,86,4
2012-07,85,5
2012-08,74,4
2012-09,66,4
2012-10,56,5
2012-11,55,15
2012-12,69,34
2013-01,54,23
2013-02,57,12
2013-03,71,8
2013-04,74,4
2013-05,82,3
2013-06,83,4
2013-07,80,4
2013-08,73,4
2013-09,58,4
2013-10,61,5
2013-11,53,16
2013-12,68,36
2014-01,55,25
2014-02,57,38
2014-03,71,9
2014-04,77,5
2014-05,85,3
2014-06,81,4
2014-07,81,4
2014-08,70,4
2014-09,58,4
2014-10,58,5
2014-11,54,16
2014-12,68,35
2015-01,53,23
2015-02,52,12
2015-03,64,7
2015-04,74,4
2015-05,80,3
2015-06,75,4
2015-07,76,4
2015-08,72,4
2015-09,60,4
2015-10,57,5
2015-11,51,16
2015-12,65,34
2016-01,51,25
2016-02,57,12
2016-03,69,6
2016-04,74,5
2016-05,80,3
2016-06,76,4
2016-07,76,4
2016-08,63,4
2016-09,57,4
2016-10,60,5
2016-11,58,17
2016-12,68,39
2017-01,50,22
2017-02,58,11
2017-03,67,6
2017-04,76,4
2017-05,74,3
2017-06,75,4
2017-07,79,4
2017-08,67,4
2017-09,57,4
2017-10,56,5
2017-11,60,18
2017-12,66,42
2018-01,52,24
2018-02,54,35
2018-03,66,9
2018-04,69,4
2018-05,75,3
2018-06,77,4
2018-07,75,4
2018-08,67,4
2018-09,54,4
2018-10,58,5
2018-11,59,19
2018-12,68,41
2019-01,51,22
2019-02,52,12
2019-03,65,7
2019-04,73,4
2019-05,76,3
2019-06,77,4
2019-07,74,4
2019-08,68,4
2019-09,55,4
2019-10,58,5
2019-11,55,18
2019-12,68,41
2020-01,53,22
2020-02,52,11
2020-03,48,4
2020-04,42,1
2020-05,60,1
2020-06,56,2
2020-07,57,3
2020-08,53,2
2020-09,51,3
2020-10,51,4
2020-11,48,10
2020-12,58,28
2021-01,44,20
2021-02,47,12
2021-03,62,5
2021-04,72,3
2021-05,76,3
2021-06,74,3
2021-07,72,4
2021-08,58,3
2021-09,57,3
2021-10,61,5
2021-11,58,18
2021-12,67,43
2022-01,51,23
2022-02,56,25
2022-03,64,7
2022-04,68,4
2022-05,74,3
2022-06,68,3
2022-07,69,4
2022-08,61,3
2022-09,55,4
2022-10,57,5
2022-11,55,17
2022-12,61,39
2023-01,46,19
2023-02,53,10
2023-03,60,6
2023-04,75,4
2023-05,75,3
2023-06,73,3
2023-07,67,3
2023-08,59,3
2023-09,56,4
2023-10,55,5
2023-11,56,16
2023-12,66,41
2024-01,46,20
2024-02,54,10
2024-03,62,6
2024-04,63,3
2024-05,67,3
2024-06,67,3
2024-07,64,3
2024-08,58,4
2024-09,55,4
2024-10,56,5
2024-11,52,14
2024-12,60,38
2025-01,44,18
2025-02,48,9
2025-03,57,5
2025-04,56,3
